#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
ES|CCHO|06|EHZ|28.225861|-16.673858|2070.0|0.0|0.0|-90.0|MarkL4C171VmsRc5500Rs8905NmxCentaur4Vpp1mHzRFon|684102000.0|10.0|M/S|100.0|2018-11-26T13:58:46|2026-02-13T10:45:21
ES|CCHO|07|EHZ|28.225664|-16.674427|2070.0|0.0|0.0|-90.0|MarkL4C171VmsRc5500Rs8905NmxCentaur4Vpp1mHzRFon|684102000.0|10.0|M/S|100.0|2018-11-26T13:58:46|2026-02-13T10:45:20
ES|CCHO|08|EHZ|28.225118|-16.673121|2070.0|0.0|0.0|-90.0|MarkL4C171VmsRc5500Rs8905NmxCentaur4Vpp1mHzRFon|684102000.0|10.0|M/S|100.0|2018-11-26T13:58:46|2026-02-13T10:45:20
ES|CCUM||EHE|27.7459|-18.0301|464.0|0.0|90.0|0.0|LE3DliteMkII@1s400VmsNmxTaurus4VppLImp1mHzRFon|1601830000.0|10.0|M/S|100.0|2011-08-16T14:20:10|2025-04-29T07:31:54
ES|CCUM||EHE|27.7459|-18.0301|464.0|0.0|90.0|0.0|LE3DliteMkII@1s400VmsNmxCentaur10VppLPh1mHzRFon|640745000.0|10.0|M/S|100.0|2025-04-29T08:50:10|
ES|CCUM||EHN|27.7459|-18.0301|464.0|0.0|0.0|0.0|LE3DliteMkII@1s400VmsNmxTaurus4VppLImp1mHzRFon|1601830000.0|10.0|M/S|100.0|2011-08-16T14:20:10|2025-04-29T07:31:54
ES|CCUM||EHN|27.7459|-18.0301|464.0|0.0|0.0|0.0|LE3DliteMkII@1s400VmsNmxCentaur10VppLPh1mHzRFon|640745000.0|10.0|M/S|100.0|2025-04-29T08:50:10|
ES|CCUM||EHZ|27.7459|-18.0301|464.0|0.0|0.0|-90.0|LE3DliteMkII@1s400VmsNmxTaurus4VppLImp1mHzRFon|1601830000.0|10.0|M/S|100.0|2011-08-16T14:20:10|2025-04-29T07:31:54
ES|CCUM||EHZ|27.7459|-18.0301|464.0|0.0|0.0|-90.0|LE3DliteMkII@1s400VmsNmxCentaur10VppLPh1mHzRFon|640745000.0|10.0|M/S|100.0|2025-04-29T08:50:10|
ES|CDIE|1K|HHE|28.285|-16.5593|2087.5|0.0|90.0|0.0|GuralpRadianGuralpMinimus|1299710000.0|1.0|M/S|100.0|2018-05-22T12:33:00|2020-12-18T10:36:27
ES|CDIE|1K|HHE|28.285|-16.5593|2087.5|9.0|90.0|0.0|GuralpRadianGuralpMinimus|1299710000.0|1.0|M/S|100.0|2020-12-18T14:08:56|
ES|CDIE|1K|HHN|28.285|-16.5593|2087.5|0.0|0.0|0.0|GuralpRadianGuralpMinimus|1348600000.0|1.0|M/S|100.0|2018-05-22T12:33:00|2020-12-18T10:36:27
ES|CDIE|1K|HHN|28.285|-16.5593|2087.5|9.0|0.0|0.0|GuralpRadianGuralpMinimus|1348600000.0|1.0|M/S|100.0|2020-12-18T14:08:56|
ES|CDIE|1K|HHZ|28.285|-16.5593|2087.5|0.0|0.0|-90.0|GuralpRadianGuralpMinimus|746448000.0|1.0|M/S|100.0|2018-05-22T12:33:00|2020-12-18T10:36:27
ES|CDIE|1K|HHZ|28.285|-16.5593|2087.5|9.0|0.0|-90.0|GuralpRadianGuralpMinimus|7464480000.0|1.0|M/S|100.0|2020-12-18T14:08:56|
ES|CDLV||HHE|29.16311|-13.44389|37.0|0.0|90.0|0.0|NmtTCompact120s754VmsCentaur40VppLPha1mHzRFoff|301720000.0|1.0|M/S|100.0|2019-11-25T19:02:15|
ES|CDLV||HHN|29.16311|-13.44389|37.0|0.0|0.0|0.0|NmtTCompact120s754VmsCentaur40VppLPha1mHzRFoff|301720000.0|1.0|M/S|100.0|2019-11-25T19:02:15|
