#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
ES|EARA|42.7733|-1.5804|565.0|Aranguren (Navarra/Nafarroa),Spain|2005-07-07T09:14:00|
ES|EARI|43.3012|-5.2099|680.0|Parres (Asturias),Spain|2001-11-22T00:00:00|
ES|EBAD|38.7556|-7.0133|221.0|Badajoz (Badajoz),Spain|2000-12-01T00:00:00|
ES|EBAJ|28.5399|-16.3434|239.0|Tegueste (Tenerife),Spain|2001-03-29T00:00:00|2026-05-21T06:52:35
ES|EBEN|38.7038|-0.225|764.0|Beniarda,Alicante/Alacant,Spain|2001-09-29T00:00:00|2010-11-08T11:33:00
ES|EBEN2|38.6761|-0.1901|424.0|El Castell de Guadalest (Alicante/Alacant),Spain|2012-05-31T09:28:00|
ES|EBER|36.8979|-2.8896|1690.0|Berja (Almeria),Spain|2000-11-01T00:00:00|
ES|EBIE|42.6862|0.1428|2130.0|Bielsa,Huesca,Spain|2001-11-07T00:00:00|2010-05-01T21:21:00
ES|EBOG|38.58969|-2.256075|1400.0|Bogarra (Albacete),Spain|2025-01-15T12:27:54|
ES|EBON|37.328501|-6.686254|90.0|Bonares (Huelva),Spain|2025-05-14T09:11:52|
ES|EBUR|42.772367|-6.783585|995.0|Vega de Espinareda (Leon),Spain|2023-05-18T13:17:02|
ES|ECAB|38.075298|-5.4186|520.0|El Cabril - Hornachuelos (Cordoba),Spain|2003-11-21T00:00:00|
ES|ECAL|41.9413|-6.7371|950.0|Pedralba de la Praderia (Zamora),Spain|2001-12-07T00:00:00|
ES|ECAZ|37.133151|-5.243763|300.0|La Puebla de Cazalla (Sevilla),Spain|2021-03-09T12:23:06|
ES|ECEL|40.473962|-1.12577|1160.0|Celadas (Teruel),Spain|2022-11-08T13:59:06|
ES|ECEU|35.8978|-5.3768|278.0|Ceuta,Spain|2007-04-11T11:48:30|
ES|ECHE|39.589617|-0.968967|643.0|Chera (Valencia),Spain|1986-11-25T00:00:00|
ES|ECHI|42.6646|0.1946|1450.0|Chisagues (Huesca),Spain|2010-12-14T12:31:40|
ES|ECIB|39.635035|-5.42511|586.3|Castanar de Ibor (Caceres),Spain|2020-05-25T00:00:00|
ES|ECOL|39.8986|0.6848|0.0|Islas Columbretes (Castellon/Castello),Spain|2015-10-30T13:20:00|
ES|EFAM|29.1275|-13.5295|135.0|Haria (Lanzarote),Spain|2002-06-05T00:00:00|
ES|EGOM|28.1594|-17.2096|770.0|Hermigua (La Gomera),Spain|2002-12-01T00:00:00|
ES|EGOR|37.1101|-4.1096|1378.0|Loja (Granada),Spain|2011-02-03T12:00:00|
ES|EGRO|37.5342|-7.4831|130.0|El Granado (Huelva),Spain|2001-12-13T00:00:00|
ES|EHIG|28.5567|-17.8062|845.0|Villa de Mazo (La Palma),Spain|2002-01-15T00:00:00|
ES|EHRO|27.7535|-18.1106|135.0|Frontera,El Hierro,Spain|2001-11-07T00:00:00|2004-11-30T23:59:59
ES|EIBI|39.0269|1.3436|260.0|San Antoni de Portmany (Ibiza/Eivissa),Spain|2001-07-06T00:00:00|
ES|EJIF|36.451972|-5.469827|275.0|Jimena de la Frontera (Cadiz),Spain|1988-05-19T00:00:00|
ES|EJIM|36.4345|-5.4555|200.0|Jimena de la Frontera (Cadiz),Spain|2017-04-19T12:00:00|2017-10-24T17:07:38
ES|EJON|42.4487|2.8886|570.0|La Jonquera (Girona),Spain|2002-03-22T00:00:00|
ES|EJUZ|41.092|-5.8899|0.0|Juzbado (Salamanca),Spain|2016-11-30T11:02:08|
ES|ELAN|43.2317|-3.434|633.0|Carranza/Karrantza Harana (Bizkaia),Spain|2003-03-31T08:41:40|
ES|ELGU|36.8678|-3.6266|780.0|Los Guajares (Granada),Spain|2011-10-26T11:09:40|
ES|ELOB|41.8674|-8.0611|980.0|Lobios (Ourense),Spain|2001-05-09T00:00:00|
ES|ELOR|37.639134|-1.745285|395.0|Lorca (Murcia),Spain|2016-09-08T00:00:00|
ES|EMAL|36.762|-4.428|131.0|Presa del Limonero,Malaga,Spain|2001-11-11T06:00:00|2009-11-05T00:00:00
ES|EMAZ|42.949|-8.9765|405.0|Mazaricos (A Coruna),Spain|2002-06-09T00:00:00|
ES|EMIJ|36.5645|-4.7727|470.0|Mijas (Malaga), Spain|2004-07-02T10:26:00|
ES|EMIN|37.7675|-6.6724|240.0|Almonaster la Real (Huelva),Spain|2001-11-27T00:00:00|
ES|EMIR|41.9144|1.5258|841.0|Riner (Lleida),Spain|2001-10-26T00:00:00|
ES|EMLI|35.294878|-2.957829|85.0|Ciudad de Melilla (Melilla),Spain|2002-06-21T00:00:00|
ES|EMON|43.43616|-7.32983|615.0|Mondonedo (Lugo),Spain|1988-07-20T00:00:00|2003-07-15T00:00:00
